No,"Country,Other",Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,"Serious,Critical",Tot_Cases/1M_Pop,Deaths/1M_Pop,Total_Tests,Tests/1M_Pop,Population
72,Palestine,22729,525,152,0,15056,269,7521,0,4439.0,30.0,263288,51422.0,5120137
73,Bosnia and Herzegovina,19964,171,609,11,13095,134,6260,0,6092.0,186.0,186532,56916.0,3277319
74,S. Korea,19947,248,324,1,14973,70,4650,79,389.0,6.0,1937689,37789.0,51276616
75,Cameroon,19142,0,411,0,17651,0,1080,30,718.0,15.0,149000,5591.0,26649650
76,Ivory Coast,18067,119,117,2,16699,146,1251,0,682.0,4.0,127804,4826.0,26480912
77,Lebanon,17308,438,167,7,4811,118,12330,96,2538.0,24.0,525556,77058.0,6820225
78,Paraguay,17105,0,308,0,9146,0,7651,85,2393.0,43.0,190169,26609.0,7146835
79,Denmark,16985,94,624,0,15205,89,1156,4,2931.0,108.0,2463008,424978.0,5795613
80,Bulgaria,16190,0,613,0,11313,0,4264,63,2333.0,88.0,404683,58316.0,6939444
81,Madagascar,14863,20,192,1,13832,30,839,45,535.0,7.0,57927,2084.0,27802541
82,North Macedonia,14341,11,603,3,11157,95,2581,1,6884.0,289.0,148269,71168.0,2083360
83,Libya,13966,543,237,5,1459,49,12270,0,2028.0,34.0,111448,16184.0,6886481
84,Senegal,13611,55,284,0,9439,51,3888,36,810.0,17.0,146218,8697.0,16812910
85,Sudan,13189,0,823,0,6612,0,5754,0,300.0,19.0,401,9.0,44010849
86,Zambia,12097,72,288,1,11469,15,340,0,655.0,16.0,115570,6259.0,18464020
87,Norway,10746,103,264,0,9348,0,1134,1,1980.0,49.0,686202,126413.0,5428247
88,Greece,10317,183,266,4,3804,0,6247,36,991.0,26.0,949367,91159.0,10414351
89,Croatia,10269,146,186,2,7434,222,2649,14,2504.0,45.0,168229,41022.0,4100925
90,DRC,10097,52,258,0,9133,30,706,0,112.0,3.0,0,0.0,89981535
91,Albania,9513,133,284,4,5214,75,4015,19,3306.0,99.0,58438,20310.0,2877265
92,Guinea,9409,38,59,0,8447,60,903,24,713.0,4.0,24530,1860.0,13188348
93,Malaysia,9340,6,127,1,9054,6,159,6,288.0,4.0,1253855,38659.0,32433564
94,French Guiana,9115,39,59,1,8654,34,402,12,30394.0,197.0,53174,177309.0,299894
95,Tajikistan,8583,33,68,0,7376,35,1139,0,897.0,7.0,0,0.0,9571550
96,Gabon,8505,0,53,0,7187,0,1265,2,3807.0,24.0,116252,52037.0,2234017
97,Haiti,8224,15,201,0,5828,0,2195,0,720.0,18.0,23652,2070.0,11425217
98,Finland,8086,9,336,1,7200,0,550,1,1459.0,61.0,639500,115388.0,5542167
99,Maldives,7804,137,28,0,5155,119,2621,12,14397.0,52.0,112927,208324.0,542073
100,Namibia,7550,185,75,3,3327,398,4148,16,2963.0,29.0,61410,24099.0,2548286
101,Mauritania,7048,32,159,0,6464,34,425,3,1510.0,34.0,69937,14980.0,4668769
102,Luxembourg,6677,4,124,0,0,0,0,2,10639.0,198.0,641144,1021546.0,627621
103,Zimbabwe,6412,0,196,0,5061,0,1155,0,430.0,13.0,149748,10052.0,14897997
104,Hungary,6139,178,615,1,3761,2,1763,7,636.0,64.0,428150,44339.0,9656183
105,Malawi,5536,0,174,0,3147,0,2215,4,288.0,9.0,44296,2306.0,19207360
106,Djibouti,5387,2,60,0,5323,4,4,0,5440.0,61.0,67370,68028.0,990329
107,Equatorial Guinea,4941,0,83,0,3884,0,974,1,3504.0,59.0,51944,36839.0,1410040
108,Hong Kong,4811,9,89,1,4342,22,380,26,641.0,12.0,780415,103958.0,7507025
109,Montenegro,4790,0,98,0,3963,0,729,0,7626.0,156.0,48405,77068.0,628079
110,CAR,4700,0,61,0,1784,0,2855,2,970.0,13.0,31042,6409.0,4843265
111,Eswatini,4577,16,91,0,3529,51,957,11,3938.0,78.0,30007,25821.0,1162135
112,Nicaragua,4494,0,137,0,2913,0,1444,0,677.0,21.0,0,0.0,6637430
113,Rwanda,4063,43,16,0,2013,95,2034,0,312.0,1.0,409707,31509.0,13002664
114,Cuba,4032,59,94,0,3378,51,560,6,356.0,8.0,392785,34682.0,11325447
115,Suriname,4009,0,67,0,3073,0,869,23,6824.0,114.0,8546,14546.0,587498
116,Congo,3979,0,78,0,1742,0,2159,0,718.0,14.0,0,0.0,5539439
117,Slovakia,3917,41,33,0,2377,99,1507,11,717.0,6.0,334932,61342.0,5460088
118,Mozambique,3916,95,23,0,2170,70,1723,0,125.0,0.7,96387,3070.0,31391605
119,Cabo Verde,3884,32,40,0,2916,49,928,0,6973.0,72.0,76576,137485.0,556976
120,Tunisia,3685,0,76,0,1562,0,2047,15,311.0,6.0,142194,12011.0,11838905
121,Thailand,3412,1,58,0,3252,0,102,1,49.0,0.8,749213,10729.0,69829347
122,Somalia,3310,0,98,0,2481,0,731,0,207.0,6.0,0,0.0,15962200
123,Mayotte,3301,0,40,0,2964,0,297,1,12054.0,146.0,13000,47471.0,273851
